dataset_id,db_title,aliases,links,paper_count,task_count,dataset_use_count
dataset_fed40cdb3663,Materials Project (v2023.11.1) Dielectric Dataset,Materials Project (v2023.11.1) Dielectric Dataset,https://next-gen.materialsproject.org/api,1,1,1
dataset_f5fc3794aeae,matbench_dielectric,Matbench Dielectric Task; matbench_dielectric,https://matbench.materialsproject.org/; https://matbench.materialsvirtuallab.org/,2,2,2
dataset_9af6a2663ebe,JARVIS-2D,JARVIS-2D,https://jarvis.nist.gov,1,1,1
dataset_7bc0d43a09a6,Harvard Organic Photovoltaic Dataset (HOPV),Harvard Organic Photovoltaic Dataset (HOPV),https://ndownloader.figshare.com/files/28814184,1,1,1
dataset_f411da0b16e9,Flla,Flla,https://github.com/hackingmaterials/automatminer,1,1,1
dataset_4cec85f7e56b,Dielectric Constant (DC) Database,Dielectric Constant (DC) Database,https://github.com/hackingmaterials/automatminer,1,1,1
dataset_15268f4f647c,Piezoelectric Tensor (PT) Database,Piezoelectric Tensor (PT) Database,https://github.com/hackingmaterials/automatminer,1,1,1
dataset_0e01c8954e53,Experimental Formation Energy (EFE),Experimental Formation Energy (EFE),https://github.com/hackingmaterials/automatminer,1,1,1
dataset_9cdd86c92052,Kingsbury Experimental Formation Energy (KEFE),Kingsbury Experimental Formation Energy (KEFE),https://github.com/hackingmaterials/automatminer,1,1,1
dataset_de06b5abdabd,Kingsbury Experimental Bandgap (KEB),Kingsbury Experimental Bandgap (KEB),https://github.com/hackingmaterials/automatminer,1,1,1
dataset_b4597821bf19,Materials Project (MP) charge density dataset,Materials Project (MP) charge density dataset,https://api.materialsproject.org,1,1,1
dataset_f281b31ea1d7,QM9 charge density dataset,QM9 charge density dataset,https://doi.org/10.1038/sdata.2014.22; https://doi.org/10.11583/DTU.16794500.v1,2,2,2
dataset_0dd86632acbe,NMC (Nickel Manganese Cobalt) battery cathode dataset,NMC (Nickel Manganese Cobalt) battery cathode dataset,https://doi.org/10.11583/DTU.16837721.v1,1,1,1
dataset_c17327be4ec0,GNoME materials dataset (subset),GNoME materials dataset (subset),https://doi.org/10.1038/s41586-023-06735-9,1,1,1
dataset_876dcbb1c40c,MatScholar embeddings,MatScholar embeddings,https://doi.org/10.1038/s41586-019-1312-1,1,1,1
dataset_25d67dd6d824,Mendeleev similarity metrics,Mendeleev similarity metrics,https://doi.org/10.1021/acs.chemmater.0c02922,1,1,1
dataset_03047ecfd3fa,XRD features (from Pymatgen),XRD features (from Pymatgen),https://pymatgen.org,1,1,1
dataset_bb3f8a1b6b1a,OFM (Orbital Field Matrix) features,OFM (Orbital Field Matrix) features,https://doi.org/10.1038/s41524-022-00822-2,1,1,1
dataset_bbb9b2c9c374,Materials Project Phonon Database (DFPT-based),Materials Project Phonon Database (DFPT-based),,1,1,1
dataset_ec1f8697696a,PhononDB (Kyoto University),PhononDB (Kyoto University),http://phonondb.mtl.kyoto-u.ac.jp/,1,1,1
dataset_cf6d81744e01,Materials Project (MP) Γ-Phonon Database (VGNN-predicted),Materials Project (MP) Γ-Phonon Database (VGNN-predicted),https://osf.io/k5utb/,1,1,1
dataset_1156b8b635d2,QM9,QM9,https://doi.org/10.6084/m9.figshare.978961,1,1,1
dataset_5a37f415d2cf,Experimental round-robin CO₂ adsorption data for ZSM-5 zeolite,Experimental round-robin CO₂ adsorption data for ZSM-5 zeolite,https://doi.org/10.1007/s10450-018-9952-0,1,1,1
dataset_4399a5640bb0,matbench_log_gvrh,matbench_log_gvrh,https://matbench.materialsproject.org/,1,1,1
dataset_c8ab0d98814b,matbench_perovskites,matbench_perovskites,https://matbench.materialsproject.org/,1,1,1
dataset_ad5cbf31abd4,MD charge density dataset,MD charge density dataset,https://doi.org/10.1038/ncomms1572,1,1,1
dataset_06c899bfb490,Cubic charge density dataset,Cubic charge density dataset,https://doi.org/10.1038/s41597-022-00059-9,1,1,1
dataset_a1d68951db7c,SuperCon3D,SuperCon3D,https://doi.org/10.48505/nims.3739; https://github.com/pincher-chen/SODNet,2,2,2
dataset_0d530002ad88,Inorganic Crystal Structure Database,ICSD (Inorganic Crystal Structure Database); Inorganic Crystal Structure Database (ICSD),https://icsd.fiz-karlsruhe.de; https://icsd.products.fiz-karlsruhe.de/,4,4,4
dataset_aed6baa5fc51,Matgen,Matgen,https://matgen.nscc-gz.cn,1,1,1
dataset_d8f086677598,Perov-5,PEROV-5; Perov-5; perov-5,https://archive.materialscloud.org/record/2012.0001/v1; https://archive.materialscloud.org/record/2020.0026/v1; https://doi.org/10.1039/C2EE22122D; https://doi.org/10.1039/C2EE22174E; https://doi.org/10.1039/C2EE22341D; https://doi.org/10.1039/C2EE22462J; https://doi.org/10.1039/C2EE22676E; https://doi.org/10.1039/C2EE22742E; https://doi.org/10.1039/C2EE22746D; https://doi.org/10.1039/C2EE22746F; https://doi.org/10.1039/C2EE22748C; https://github.com/txie-93/cdvae,16,16,16
dataset_353a5bb6bf50,Carbon-24,CARBON-24; Carbon-24,https://airss.ac.uk/data/carbon; https://archive.materialscloud.org/record/2020.0026/v1; https://doi.org/10.1038/s41524-020-00442-0; https://doi.org/10.24435/MATERIALSCLOUD:2020.0026/V1; https://doi.org/10.24435/materialscloud:2020.0026/v1; https://doi.org/10.5281/zenodo.3727277; https://github.com/txie-93/cdvae; https://www.materialscloud.org/archive/2020.0026/v1; https://www.materialscloud.org/work/2020.0036/v1,13,13,13
dataset_c1788908f106,MP-20,MP-20; Mp-20,https://doi.org/10.1063/1.4812323; https://github.com/txie-93/cdvae; https://materialsproject.org; https://materialsproject.org/; https://next-gen.materialsproject.org,17,17,17
dataset_738fde24c35b,CAMD Dataset (2022),CAMD Dataset (2022),https://doi.org/10.6084/m9.figshare.19601956.v1,1,1,1
dataset_7ad244beb76c,OQMD-ICSD (Open Quantum Materials Database — Inorganic Crystal Structure Database subset),OQMD-ICSD (Open Quantum Materials Database — Inorganic Crystal Structure Database subset),https://oqmd.org/,1,1,1
dataset_8b55ac6b7bf5,MPTS-52,MPTS-52,https://doi.org/10.21105/joss.05618; https://doi.org/10.48550/arXiv.2309.12345; https://github.com/sparks-baird/mp-time-split; https://github.com/tianxiao-xie/MPTS; https://materialsproject.org; https://next-gen.materialsproject.org,11,11,11
dataset_8e7feddeed64,MIO dataset,MIO dataset,http://www.materialsproject.org,1,1,1
dataset_778b650f84cb,TST dataset,TST dataset,https://oqmd.org,1,1,1
dataset_db3b359f185a,MP-20 dataset,MP-20 Dataset; MP-20 dataset,https://doi.org/10.1039/d5mh00010f; https://github.com/txie-93/cdvae,3,3,3
dataset_a5afc4407f9c,MP-21-40 dataset,MP-21-40 dataset,https://materialsproject.org,1,1,1
dataset_4605b2969513,Quantum MOF (QMOF) database,Quantum MOF (QMOF) database,https://quantum-mof.org,1,1,1
dataset_4937ff535eec,Alexandria Materials Database,Alexandria Materials Database,https://doi.org/10.1038/s41524-023-01078-9,1,1,1
dataset_8f6bd863b583,DS-A dataset (Cerqueira et al.),DS-A dataset (Cerqueira et al.),https://doi.org/10.1002/adma.202307085,1,1,1
dataset_bbfab1a728df,Materials Project (MP-20),Materials Project (MP-20),https://materialsproject.org,1,1,1
dataset_a0e0c77d8c1c,Perov5,Perov5,,1,1,1
dataset_99d3955cd48c,Carbon24,Carbon24,https://archive.materialscloud.org/record/2020.0026/v1,2,2,2
dataset_e8361254e922,Materials Project 2021 (MP 2021),Materials Project 2021 (MP 2021),https://materialsproject.org,1,1,1
dataset_c0ed32de5f63,GNoME (Graph Networks for Materials Exploration),GNoME (Graph Networks for Materials Exploration),https://github.com/google-research/google-research/tree/master/gnome,1,1,1
dataset_7f8f7e60c3f0,NOMAD Repository,NOMAD Repository,https://nomad-lab.eu; https://nomad-lab.eu/,2,2,2
dataset_0cc48f92712d,MP60-CALYPSO dataset,MP60-CALYPSO dataset,,1,1,1
dataset_39d1c8be4432,CALYPSO dataset,CALYPSO dataset,http://www.calypso.cn,1,1,1
dataset_3306f0c5c31d,Open Quantum Materials Database (OQMD) v1.0,Open Quantum Materials Database (OQMD) v1.0,https://oqmd.org/,1,1,1
dataset_a9b6082959f3,Materials Project (MP) v2021.05.13,Materials Project (MP) v2021.05.13,https://materialsproject.org/,1,1,1
dataset_a84a1763a491,Mendeley Data Repository (LCMGM-designed materials),Mendeley Data Repository (LCMGM-designed materials),https://doi.org/10.17632/m262xxpgn2.1,1,1,1
dataset_ebb089559032,Materials Project MP-20,Materials Project MP-20,https://materialsproject.org/,1,1,1
dataset_b4a08ed9cfc7,Extended Materials Project Dataset,Extended Materials Project Dataset,https://materialsproject.org/,1,1,1
dataset_460867437222,NOMAD,NOMAD,https://nomad-lab.eu/,1,1,1
dataset_1bf08acf65bd,SAbDab,SAbDab,https://opig.stats.ox.ac.uk/webapps/sabdab/,1,1,1
dataset_01650f0db0a5,DiffAb test set,DiffAb test set,https://github.com/luosy01/DiffAb,1,1,1
dataset_12672e79b01e,Wikipedia,Wikipedia,https://en.wikipedia.org,1,1,1
dataset_176afdea792f,SuperCon,SuperCon,https://doi.org/10.48505/nims.3739,1,1,1
dataset_960223a29e77,ShotgunCSP Benchmark Datasets I–III,ShotgunCSP Benchmark Datasets I–III,https://doi.org/10.6084/m9.figshare.26536375,1,1,1
dataset_d89e4439e1cb,X-Mn-O dataset,X-Mn-O dataset,https://zenodo.org/records/8081655,1,1,1
dataset_da2a1d606109,MoS2 defect dataset,MoS2 defect dataset,https://research.constructor.tech/p/2d-defects-prediction,1,1,1
dataset_9a51c9e3650c,Layered van der Waals (vdW) crystals dataset,Layered van der Waals (vdW) crystals dataset,,1,1,1
dataset_c1f82db1f017,Alex-MP-20,Alex-MP-20,https://doi.org/10.1038/s41597-022-01177-w; https://github.com/microsoft/mattergen,2,2,2
dataset_efbc460876da,Alex-MP-ICSD,Alex-MP-ICSD,"https://materialsproject.org, https://doi.org/10.24435/materialscloud:m7-50, https://icsd.products.fiz-karlsruhe.de",1,1,1
dataset_5b077e612f23,Magnetic density labelled dataset,Magnetic density labelled dataset,https://github.com/microsoft/mattergen,1,1,1
dataset_d454df1df2f2,Bandgap labelled dataset,Bandgap labelled dataset,https://github.com/microsoft/mattergen,1,1,1
dataset_087214043e2c,Bulk modulus labelled dataset,Bulk modulus labelled dataset,https://github.com/microsoft/mattergen,1,1,1
dataset_b5455de1b185,HHI-score + magnetic density joint labelled dataset,HHI-score + magnetic density joint labelled dataset,https://github.com/microsoft/mattergen,1,1,1
dataset_d26805878809,AFLOW Crystallographic Prototypes Library,AFLOW Crystallographic Prototypes Library,https://aflowlib.org/crystallographic_prototypes,1,1,1
dataset_c3188df45741,Alexandria Database,Alexandria Database,https://alexandria.chem.umn.edu,1,1,1
dataset_3521c65599d4,DepositeOnce dataset for 'Accelerating crystal structure search through active learning',DepositeOnce dataset for 'Accelerating crystal structure search through active learning',https://doi.org/10.14279/depositonce-2100896,1,1,1
dataset_442ba3028adf,Materials Project (MP-40 dataset),Materials Project (MP-40 dataset),https://doi.org/10.5281/zenodo.15090949,1,1,1
dataset_14bfacb8833b,GASpy database,GASpy database,,1,1,1
dataset_9ef2650871dc,OQMD dataset,OQMD dataset,https://oqmd.org/,1,1,1
dataset_acef662c5978,Generated_surfaces (Figshare dataset),Generated_surfaces (Figshare dataset),https://figshare.com/articles/dataset/Generated_surfaces/2798653161,1,1,1
dataset_2ea450edb83a,IrPdPtRhRu HEA *OH Adsorption Dataset,IrPdPtRhRu HEA *OH Adsorption Dataset,https://zenodo.org/records/15266141,1,1,1
dataset_4afb1290843c,Semi-supervised Expanded *OH Adsorption Dataset,Semi-supervised Expanded *OH Adsorption Dataset,https://zenodo.org/records/15266141,1,1,1
dataset_1e96eaecb5a3,NbMo alloy system computational dataset,NbMo alloy system computational dataset,https://github.com/lamm-mit/AtomAgents,1,1,1
dataset_2ad9871c393d,Tungsten (W) screw dislocation dataset with EAM potentials,Tungsten (W) screw dislocation dataset with EAM potentials,https://github.com/lamm-mit/AtomAgents,1,1,1
dataset_b1d76b106c72,Text-mined Inorganic Solid-State Synthesis Database,Text-mined Inorganic Solid-State Synthesis Database,https://doi.org/10.1038/s41524-024-01474-5,1,1,1
dataset_cbcbd4e23e4d,Alexandria,Alexandria,,1,1,1
dataset_dd93a325a6f4,Pickard's Carbon Allotrope Dataset (AIRSS-generated),Pickard's Carbon Allotrope Dataset (AIRSS-generated),https://doi.org/10.24435/MATERIALSCLOUD:2020.0026/V1,1,1,1
dataset_e13b63f7f963,GAP-2020 (Carbon subset),GAP-2020 (Carbon subset),https://doi.org/10.1063/5.0007721,1,1,1
dataset_721335d5ed62,Samara Carbon Allotrope Database (SACADA),Samara Carbon Allotrope Database (SACADA),https://sacada.org; https://sacada.org/,2,2,2
dataset_3ab813321ec9,CRYSIM random generation (RG) training dataset,CRYSIM random generation (RG) training dataset,,1,1,1
dataset_4697567fa539,Alexand20 dataset,Alexand20 dataset,https://doi.org/10.1038/s41597-022-01164-2,1,1,1
dataset_33067bc3cf17,Materiae and TQC databases,Materiae and TQC databases,https://www.topologicalquantumchemistry.org/; https://materiae.iphy.ac.cn/,1,1,1
dataset_c090317d92a0,Generated crystal dataset (PODGen output),Generated crystal dataset (PODGen output),https://materialsgalaxy.iphy.ac.cn/materials; https://in.iphy.ac.cn/eln/link.html#/113/G9f5,1,1,1
dataset_365c107f1a7d,PSO-guided MD simulation dataset for FeNiCrCoCu MPEAs,PSO-guided MD simulation dataset for FeNiCrCoCu MPEAs,https://github.com/Deshmukh-Group/Code_For_XAI_MPEA.git,1,1,1
dataset_555702cff6b9,B2-structured ternary alloy dataset,B2-structured ternary alloy dataset,https://doi.org/10.48505/nims.5364,1,1,1
dataset_375d79fb7273,Alexandria Dataset (AS),Alexandria Dataset (AS),https://alexandria.icams.rub.de/pbe/,1,1,1
dataset_b6c76c100b3d,ORB Dataset,ORB Dataset,https://github.com/orbital-materials/orb,1,1,1
dataset_d6d36f06e050,Custom SMA Binary Classification Dataset,Custom SMA Binary Classification Dataset,,1,1,1
dataset_6f5369c60377,CrysDB,CrysDB,https://doi.org/10.6084/m9.figshare.31440697,1,1,1
