paper_id,paper_file,title,task_count,dataset_count
paper_3134544b5260,79_Inverse design of promising electrocatalysts for CO2 reduction via generative models and bird swarm algorithm.pdf,79 Inverse design of promising electrocatalysts for CO2 reduction via generative models and bird swarm algorithm,1,3
paper_9d57a362a1e1,80_Inverse design of catalytic active sites via interpretable topology-based deep generative models.pdf,80 Inverse design of catalytic active sites via interpretable topology-based deep generative models,1,2
paper_48b9079a14dc,81_Automating alloy design and discovery with physics-aware multimodal multiagent AI.pdf,81 Automating alloy design and discovery with physics-aware multimodal multiagent AI,1,2
paper_44a48ad7f0fe,82_Deep reinforcement learning for inverse inorganic materials design.pdf,82 Deep reinforcement learning for inverse inorganic materials design,1,2
paper_9535637b3a22,84_Kinetic Langevin Diffusion for Crystalline Materials Generation.pdf,84 Kinetic Langevin Diffusion for Crystalline Materials Generation,1,4
paper_64e63ef16f68,85_WyckoffDiff -- A Generative Diffusion Model for Crystal Symmetry.pdf,85 WyckoffDiff -- A Generative Diffusion Model for Crystal Symmetry,1,3
paper_e3d973206f20,86_Open Materials Generation with Stochastic Interpolants.pdf,86 Open Materials Generation with Stochastic Interpolants,1,4
paper_ccdb446147b0,87_Crystal structure prediction with host-guided inpainting generation and foundation potentials.pdf,87 Crystal structure prediction with host-guided inpainting generation and foundation potentials,1,2
paper_806c2a7d6a1e,88_Massive discovery of crystal structures across dimensionalities by leveraging vector quantization.pdf,88 Massive discovery of crystal structures across dimensionalities by leveraging vector quantization,1,4
paper_05892ac5c4a0,89_Generative deep learning for predicting ultrahigh lattice thermal conductivity materials.pdf,89 Generative deep learning for predicting ultrahigh lattice thermal conductivity materials,1,3
paper_ac9d04022740,92_Predicting symmetric structures of large crystals with GPU-based Ising machines.pdf,92 Predicting symmetric structures of large crystals with GPU-based Ising machines,1,2
paper_79f00726593c,93_Materials discovery acceleration by using conditional generative methodology.pdf,93 Materials discovery acceleration by using conditional generative methodology,1,3
paper_0af37b7eaed1,94_Experimentally validated inverse design of FeNiCrCoCu MPEAs and unlocking key insights with explainable AI.pdf,94 Experimentally validated inverse design of FeNiCrCoCu MPEAs and unlocking key insights with explainable AI,1,1
paper_ad665b9b7638,95_Networking autonomous material exploration systems through transfer learning.pdf,95 Networking autonomous material exploration systems through transfer learning,1,1
paper_e874560d454e,96_A generative material transformer using Wyckoff representation.pdf,96 A generative material transformer using Wyckoff representation,1,4
paper_b854fee3eb53,97_AI-assisted rapid crystal structure generation towards a target local environment.pdf,97 AI-assisted rapid crystal structure generation towards a target local environment,1,1
paper_ed9837307e19,98_Self-supervised probabilistic models for exploring shape memory alloys.pdf,98 Self-supervised probabilistic models for exploring shape memory alloys,1,3
paper_b481f96d658c,99_Siamese foundation models for crystal structure prediction.pdf,99 Siamese foundation models for crystal structure prediction,1,4
paper_91120141650c,100_Symmetry-aware Bayesian flow networks for crystal generation.pdf,100 Symmetry-aware Bayesian flow networks for crystal generation,1,3
