dataset_use_id,paper_id,task_id,dataset_id,paper_file,db_title,original_db_title,db_description,db_link,rd_stages
dataset_use_86b751f702ce,paper_dd99eeb08a7c,task_337f2d813b5e,dataset_9a7a3a5a092f,06_Transformer_Atomic_Embeddings.pdf,MC3D dataset,MC3D dataset,"A dataset containing 3D crystal structures and associated total energies (E); used to assess ct-UAE performance on a distinct property (total energy) and in a different materials domain. Applied to enhance CGCNN, MEGNET, and ALIGNN models, yielding MAE reductions (e.g., 3.9% for CGCNN), confirming the task-supporting role of ct-UAEs in broadening applicability beyond formation energy and bandgap to other fundamental crystal properties.",https://github.com/usnistgov/jarvis/tree/master/jarvis/core,Dataset Selection; Model Training; Screening / Prediction; Benchmarking / Evaluation
dataset_use_c9f9564247e0,paper_dd99eeb08a7c,task_337f2d813b5e,dataset_1b9ea456752c,06_Transformer_Atomic_Embeddings.pdf,HOIP Dataset,Hybrid Organic-Inorganic Perovskite (HOIP) dataset,"A merged dataset of 2,103 HOIP crystals compiled from two prior sources (Kim et al., 2017 and Nakajima & Sawada, 2017); used to evaluate ct-UAEs in data-scarce regimes where traditional ML models underperform. Supports the task by serving as a low-data target domain for transfer learning—ct-UAEs pretrained on MP* significantly improve formation energy prediction accuracy (e.g., 34% MAE reduction for MEGNET), directly addressing the challenge of data scarcity in complex functional materials.",https://doi.org/10.1038/sdata.2017.152,Dataset Selection; Model Training; Screening / Prediction; Benchmarking / Evaluation
dataset_use_899d362dd3c6,paper_527363b91d18,task_413133a497b4,dataset_d55b16e3041b,07_EATGNN_Piezoelectric_Tensor.pdf,Materials Project,Materials Project,"A publicly accessible database of computed materials properties, containing DFT-calculated piezoelectric tensors for bulk inorganic crystals. In this paper, it provides bulk piezoelectric tensor data (in Voigt notation) used to train and evaluate the EATGNN model; after outlier removal and symmetry validation, 3444 entries were curated for training/test splits (9:1). The dataset supports the core task of learning symmetry-constrained, frame-independent tensor mappings from crystal structures.",https://materialsproject.org,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction
dataset_use_bd8d17f15f63,paper_527363b91d18,task_413133a497b4,dataset_68145cf04333,07_EATGNN_Piezoelectric_Tensor.pdf,C2DB,Computational 2D Materials Database (C2DB),"A high-throughput computational database containing DFT-derived properties—including piezoelectric tensors—for over 4,000 two-dimensional materials. This paper uses 1350 validated 2D piezoelectric tensor entries (after outlier filtering and symmetry enforcement) to train and test EATGNN on low-dimensional systems. It enables the task of predicting the reduced 3×3 piezoelectric stress tensor for 2D crystals while preserving in-plane rotational equivariance and lattice-symmetry compliance.",https://c2db.fysik.dtu.dk/,Problem Definition; Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction; Validation
dataset_use_98325f79e378,paper_527363b91d18,task_413133a497b4,dataset_3d1fc9ebc1ce,07_EATGNN_Piezoelectric_Tensor.pdf,JARVIS Database,JARVIS Database,"The Joint Automated Repository for Various Integrated Simulations (JARVIS) is a DFT-based materials database that includes piezoelectric tensor data derived from high-throughput calculations. The paper explicitly states bulk material data was sourced from both the Materials Project and JARVIS; JARVIS contributes additional piezoelectric tensor entries—particularly from the referenced high-throughput study (Choudhary et al., npj Comput. Mater. 6, 64, 2020)—to expand coverage and improve model generalization for bulk crystal tensor prediction.",https://jarvis.nist.gov/,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_d71c1217c4f4,paper_cdf2df178098,task_29d66873e68c,dataset_d55b16e3041b,08_HiBoFL_Thermal_Conductivity.pdf,Materials Project,Materials Project (MP) database,"A publicly available DFT-based high-throughput computational materials database containing over 154,718 entries with thermodynamic, electronic, and structural properties (e.g., formation energy above hull, band gap, crystal structure, unit cell parameters). In this paper, it serves as the primary source for the initial material pool; the authors query it via API and apply thermodynamic stability (Ehull ≤ 0.05 eV/atom), semiconductor band gap (0.1–2 eV), unit cell size (Natoms < 20, Nelements < 4), and elemental constraints (excluding H, lanthanides, actinides) to construct the 2675-material first-level dataset used for unsupervised clustering and feature engineering.",https://next-gen.materialsproject.org/,Dataset Selection; Model Training; Screening / Prediction
dataset_use_d80d5b12b3a5,paper_cdf2df178098,task_29d66873e68c,dataset_8030c6211eeb,08_HiBoFL_Thermal_Conductivity.pdf,HiBoFL Local Database (PET-derived),HiBoFL Local Database (PET-derived),"A custom-built, MongoDB-stored local database containing 661 semiconductors from clusters C1 and C2 (selected via unsupervised learning on the Materials Project data), each annotated with lattice thermal conductivity values (κPET) at 300 K computed using the phonon-elasticity-thermal (PET) empirical model. It includes derived elastic properties (bulk/shear moduli), crystal system, formula type, and elemental composition. This dataset is used to train and validate the supervised CatBoost classifier for ultralow κL prediction (κPET ≤ 2 W/mK), enable statistical analysis of low-κL trends, and prioritize candidates (e.g., Cs2SnSe3, Cs2GeSe3) for first-principles validation.",None,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_1b2203043e7c,paper_ff6e0dbcf294,task_dbae0fb23b52,dataset_da938cf04999,09_LLM_Prop.pdf,TextEdge,TextEdge,"TextEdge is a benchmark dataset curated by the authors, containing ~144,931 crystal structure-description pairs derived from the Materials Project database. Each entry includes a human-readable, Robocrystallographer-generated text description (e.g., space group, bonding geometry, Wyckoff sites, stoichiometry) and six labeled properties: band gap, formation energy per atom, energy above hull, unit cell volume, energy per atom, and direct/indirect band gap indicator. It is used to train and evaluate LLM-Prop for property prediction from text input, enabling fair comparison against GNN baselines on identical splits (125,098 train / 9,945 val / 9,888 test samples).",https://drive.google.com/drive/folders/1YCDBzwjwNRIc1FRkB662G3Y5AOWaokUG,Dataset Selection; Representation / Feature Construction; Screening / Prediction; Benchmarking / Evaluation
dataset_use_48b1eb2b5f32,paper_ff6e0dbcf294,task_dbae0fb23b52,dataset_d55b16e3041b,09_LLM_Prop.pdf,Materials Project,Materials Project,"A publicly available computational materials database providing DFT-calculated structural and energetic properties for over 145,000 inorganic crystalline compounds. The authors collected crystal structures (CIF files), IDs, and six target properties (band gap, formation energy per atom, energy above hull, unit cell volume, energy per atom, and direct/indirect band gap label) from Materials Project via its free API as of November 1, 2022. This raw data served as the source for generating TextEdge and was used to ensure ground-truth labels for all prediction tasks.",https://materialsproject.org/,Dataset Selection; Screening / Prediction
dataset_use_90b21b3174ab,paper_376c54bdb055,task_f4a8c4f8f856,dataset_19d1b1004506,10_CrystalFramer.pdf,JARVIS-DFT,JARVIS-DFT 3D 2021,"A publicly available dataset of 55,723 crystalline materials, each represented by its 3D unit cell (atomic species, Cartesian coordinates, lattice vectors) and annotated with DFT-simulated properties: formation energy per atom, total energy (OptB88vdW), bandgap (OptB88vdW and TBmBJ), and energy above hull. Used in this paper to train and evaluate CrystalFramer on five regression tasks with fixed train/validation/test splits (44,578 / 5,572 / 5,572 for most targets; 14,537 / 1,817 / 1,817 for MBJ bandgap), serving as a benchmark for SE(3)-invariant crystal encoders.",https://jarvis.nist.gov/,Dataset Selection; Representation / Feature Construction; Screening / Prediction; Benchmarking / Evaluation
dataset_use_8374071ffb4a,paper_376c54bdb055,task_f4a8c4f8f856,dataset_d55b16e3041b,10_CrystalFramer.pdf,Materials Project,Materials Project (MP),"A large-scale database of ~69,239 synthetically feasible crystalline materials, providing DFT-calculated properties including formation energy, PBE bandgap, bulk modulus, and shear modulus. In this paper, it is used for crystal property prediction across four regression tasks using standardized data splits (60,000 / 5,000 / 4,239 for formation energy and bandgap; ~4,664 / ~393 / ~393 for moduli), enabling comparison against state-of-the-art models and validation of generalization beyond JARVIS.",https://materialsproject.org/,Dataset Selection; Screening / Prediction; Validation
dataset_use_e1f9ed19f6e1,paper_376c54bdb055,task_f4a8c4f8f856,dataset_f6b0e6dabd69,10_CrystalFramer.pdf,Open Quantum Materials Database,Open Quantum Materials Database (OQMD),"A high-throughput computational database containing 817,636 materials with DFT-derived properties: formation energy (_oqmd_delta_e), bandgap (_oqmd_band_gap), and energy above hull (_oqmd_stability). Used in this work to assess scalability and robustness of CrystalFramer on a much larger scale than prior benchmarks — specifically for three regression tasks with splits of ~654k / ~81.8k / ~81.8k — confirming performance gains hold under massive data regime and validating practical applicability.",https://oqmd.org/,Dataset Selection; Screening / Prediction; Benchmarking / Evaluation
dataset_use_f0b8bbd9b30f,paper_7100e5964f9d,task_9126e9e26415,dataset_39bdea8c48d7,11_DPF.pdf,"380,743 Unlabeled Crystal Structures (Merchant et al. 2023-derived)","380,743 Unlabeled Crystal Structures (Merchant et al. 2023-derived)","A curated set of 380,743 crystal structures generated by a deep generative tool (Merchant et al. 2023), filtered to remove duplicates with downstream benchmarks and physically or chemically irrational structures. Contains full crystal structure representations: atom types (from the 95-element periodic table), fractional atomic positions in the unit cell, and six lattice constants (a, b, c, α, β, γ). Used exclusively for unsupervised denoising pre-training—specifically to train models to reconstruct masked atom types, perturbed atom positions, and perturbed lattice constants—thereby learning generalizable structural representations before fine-tuning on property prediction tasks.",None,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction
dataset_use_ffc007efd1c1,paper_7100e5964f9d,task_9126e9e26415,dataset_3d1fc9ebc1ce,11_DPF.pdf,JARVIS Database,JARVIS Dataset,"A publicly available benchmark dataset containing 55,722 experimentally and computationally derived crystal structures, each annotated with multiple material properties including formation energy, band gap (OPT and MBJ), total energy, energy above hull (Ehull), bulk modulus, and shear modulus. Used as a primary downstream evaluation benchmark to fine-tune and validate the pre-trained models’ performance on crystal property prediction tasks, with MAE as the evaluation metric.",https://jarvis.nist.gov/,Dataset Selection; Model Training; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_b203a6387245,paper_7100e5964f9d,task_9126e9e26415,dataset_d55b16e3041b,11_DPF.pdf,Materials Project,Materials Project Dataset,"A large-scale computational materials database aggregating DFT-calculated properties for over 100,000 inorganic crystals. The subset used in this paper includes 69,239 structures labeled with formation energy and band gap, and 5,451 structures labeled with bulk modulus and shear modulus. Serves as the second major downstream benchmark for fine-tuning and evaluating the denoising-pre-trained models across diverse crystal property prediction tasks under consistent experimental protocols.",https://materialsproject.org/,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_248531b22245,paper_9e212a4383a8,task_502a51c697a5,dataset_d55b16e3041b,12_PDDFormer.pdf,Materials Project,Materials Project,"A large-scale computational database containing DFT-calculated structural and property data for over 100,000 inorganic crystalline materials. It includes atomic positions, lattice parameters, space groups, and computed properties such as formation energy, band gap, bulk modulus, and shear modulus. In this paper, it is used to train and evaluate WPDDFormer and UPDDFormer for multi-task crystal property prediction, with reported results on formation energy, band gap, bulk modulus, and shear modulus using log-scaled and linear metrics.",https://materialsproject.org,Dataset Selection; Model Training; Screening / Prediction; Benchmarking / Evaluation
dataset_use_f5d6c5ee4833,paper_9e212a4383a8,task_502a51c697a5,dataset_19d1b1004506,12_PDDFormer.pdf,JARVIS-DFT,JARVIS-DFT,"The Joint Automated Repository for Various Integrated Simulations (JARVIS) dataset, which provides DFT-computed properties for ~67,000 experimentally synthesized and hypothetical crystals, including formation energy, band gap (OPT and MBJ), total energy, energy above hull (Ehull), bulk modulus, and shear modulus. The dataset includes Cartesian atomic coordinates, lattice vectors, and symmetry information. In this paper, JARVIS-DFT serves as a benchmark for evaluating predictive accuracy across seven property prediction tasks under identical experimental protocols.",https://jarvis.nist.gov,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_de1c07d75869,paper_f11b018703ad,task_f54c6e9beff9,dataset_d55b16e3041b,13_CrysCo.pdf,Materials Project,Materials Project 2021 (MP21),"A publicly available DFT-computed database of inorganic materials containing 133,785 entries with crystal structures, compositions, and computed physical properties. It provides primary properties (e.g., formation energy per atom, band gap, energy above convex hull, Fermi energy) and secondary properties (e.g., bulk/shear moduli via Voigt-Reuss-Hill approximation, dielectric refractive index, phonon frequencies). In this paper, MP21 is used to train and benchmark the CrysCo model across eight regression tasks—serving as the source for both abundant primary-property data (e.g., ~126k formation energy samples) and scarce secondary-property data (e.g., only ~12k elasticity entries)—and enabling transfer learning from formation energy to mechanical properties.",https://materialsproject.org,Dataset Selection; Model Training; Screening / Prediction
dataset_use_2a8c8d9c10db,paper_f11b018703ad,task_f54c6e9beff9,dataset_487cfa495675,13_CrysCo.pdf,In-house DFT-relaxed novel structures dataset,In-house DFT-relaxed novel structures dataset,"A custom dataset of 751 novel crystalline structures generated and DFT-relaxed internally by the authors. It contains ground-truth formation energies and energies above the convex hull computed via first-principles methods. This dataset is used exclusively for out-of-distribution evaluation—testing the model’s generalization capability on materials not present in the Materials Project—by predicting Ef and EHull and reporting parity plots, Pearson correlations (0.894 and 0.931), and MAEs (0.0318 and 0.0294 eV/atom), thereby validating real-world applicability for new material discovery.",None,Dataset Selection; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_172cb9e4ad0d,paper_471a9187e021,task_702953135e8f,dataset_f652501a560b,14_Cross_Scale_Covariance.pdf,OpenKIM Interatomic Potential Repository,OpenKIM Interatomic Potential Repository,"A curated collection of 178 interatomic potentials (IPs) for nine FCC metals (Ag, Al, Au, Cu, Ni, Pb, Pd, Pt, Rh), each accompanied by precomputed small-scale material properties—including elastic constants (C11, C12, C44), surface energies ({100}, {110}, {111}), stacking fault energies (uSFE, iSFE), vacancy formation/migration energies, lattice constants, cohesive energies, and thermal expansion coefficients—calculated via standardized KIM Test Drivers. These IPs and their associated properties constitute the statistical pool used to identify covariant small-scale predictors and train regression models linking them to large-scale MD-predicted plastic flow strength.",https://openkim.org,Dataset Selection; Model Training; Screening / Prediction
dataset_use_444f94157343,paper_471a9187e021,task_702953135e8f,dataset_c666648c615a,14_Cross_Scale_Covariance.pdf,Custom DFT dataset for FCC metals,Custom DFT dataset for FCC metals,"Density functional theory (DFT) calculations performed for seven FCC metals (Ag, Al, Au, Cu, Ni, Pd, Pt) to compute three key predictor properties: {111} surface energy, lattice constant, and vacancy migration energy—all in FCC structure. This dataset provides the quantum-accurate input values used to apply the trained cross-scale regression model and predict plastic flow strength; it supports the core task of transferring statistical covariance learned from IPs to DFT-based predictions with quantified uncertainty.",None,Dataset Selection; Model Training; Screening / Prediction
dataset_use_62f7a8c2d887,paper_92747bbddb26,task_66e2dba11ca7,dataset_44aa2507e9ca,15_Extrapolative_Episodic_Training.pdf,RadonPy Polymer Dataset,RadonPy Polymer Dataset,"A computationally generated dataset of 69,480 amorphous homopolymers (with 68,700 refractive index entries), classified into 20 polymer classes (e.g., polyimide, polystyrene, polyesters), where properties—including specific heat at constant pressure (Cp) and refractive index—are calculated via all-atom molecular dynamics simulations using RadonPy. The dataset is used to construct extrapolative episodic training tasks: for each test class (e.g., p13 polyimide), models are trained on the other 19 classes and evaluated on held-out samples from the excluded class, enabling evaluation of cross-class extrapolative property prediction.",None,Dataset Selection; Model Training; Screening / Prediction; Benchmarking / Evaluation
dataset_use_ed93b5e1b852,paper_92747bbddb26,task_66e2dba11ca7,dataset_1b9ea456752c,15_Extrapolative_Episodic_Training.pdf,HOIP Dataset,HOIP Dataset (Hybrid Organic–Inorganic Perovskite Dataset),"A density functional theory (DFT)-calculated dataset containing 1345 perovskite compounds, each composed of organic/inorganic cations (Ge, Sn, Pb) and anions (F, Cl, Br, I), along with computed bandgaps and other properties. It is partitioned into 12 domains based on cation–anion combinations; two extrapolative tasks—HOIP-GeF (excluding Ge+F compounds) and HOIP-PbI (excluding Pb+I compounds)—are defined by withholding entire chemical combinations from training. The dataset supports evaluating extrapolative bandgap prediction when the model must generalize to unseen elemental pairings not present in the support set.",https://doi.org/10.5061/dryad.gq3rg,Dataset Selection; Model Training; Screening / Prediction
dataset_use_0ad533aa0657,paper_cd925085a1df,task_49a79df78a99,dataset_d55b16e3041b,16_OOD_Generalization_Materials.pdf,Materials Project,Materials Project (MP),"A database of ~146k ab initio–computed inorganic crystalline materials, containing formation energies, band gaps, bulk moduli, crystal structures (space groups, point groups, crystal systems), and chemical compositions. In this paper, it is used to construct over 700 OOD tasks—including leave-one-element-out, leave-one-period-out, leave-one-group-out, leave-one-space-group-out, and leave-one-crystal-system-out splits—to evaluate ML model generalization on formation energy prediction and assess representational domain coverage via UMAP embedding analysis.",https://materialsproject.org,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction; Validation
