dataset_id,db_title,aliases,links,paper_count,task_count,dataset_use_count
dataset_7bc0d43a09a6,Harvard Organic Photovoltaic Dataset (HOPV),Harvard Organic Photovoltaic Dataset (HOPV),https://ndownloader.figshare.com/files/28814184,1,1,1
dataset_f411da0b16e9,Flla,Flla,https://github.com/hackingmaterials/automatminer,1,1,1
dataset_4cec85f7e56b,Dielectric Constant (DC) Database,Dielectric Constant (DC) Database,https://github.com/hackingmaterials/automatminer,1,1,1
dataset_15268f4f647c,Piezoelectric Tensor (PT) Database,Piezoelectric Tensor (PT) Database,https://github.com/hackingmaterials/automatminer,1,1,1
dataset_0e01c8954e53,Experimental Formation Energy (EFE),Experimental Formation Energy (EFE),https://github.com/hackingmaterials/automatminer,1,1,1
dataset_9cdd86c92052,Kingsbury Experimental Formation Energy (KEFE),Kingsbury Experimental Formation Energy (KEFE),https://github.com/hackingmaterials/automatminer,1,1,1
dataset_de06b5abdabd,Kingsbury Experimental Bandgap (KEB),Kingsbury Experimental Bandgap (KEB),https://github.com/hackingmaterials/automatminer,1,1,1
dataset_b4597821bf19,Materials Project (MP) charge density dataset,Materials Project (MP) charge density dataset,https://api.materialsproject.org,1,1,1
dataset_f281b31ea1d7,QM9 charge density dataset,QM9 charge density dataset,https://doi.org/10.1038/sdata.2014.22; https://doi.org/10.11583/DTU.16794500.v1,2,2,2
dataset_0dd86632acbe,NMC (Nickel Manganese Cobalt) battery cathode dataset,NMC (Nickel Manganese Cobalt) battery cathode dataset,https://doi.org/10.11583/DTU.16837721.v1,1,1,1
dataset_c17327be4ec0,GNoME materials dataset (subset),GNoME materials dataset (subset),https://doi.org/10.1038/s41586-023-06735-9,1,1,1
dataset_876dcbb1c40c,MatScholar embeddings,MatScholar embeddings,https://doi.org/10.1038/s41586-019-1312-1,1,1,1
dataset_25d67dd6d824,Mendeleev similarity metrics,Mendeleev similarity metrics,https://doi.org/10.1021/acs.chemmater.0c02922,1,1,1
dataset_03047ecfd3fa,XRD features (from Pymatgen),XRD features (from Pymatgen),https://pymatgen.org,1,1,1
dataset_bb3f8a1b6b1a,OFM (Orbital Field Matrix) features,OFM (Orbital Field Matrix) features,https://doi.org/10.1038/s41524-022-00822-2,1,1,1
dataset_bbb9b2c9c374,Materials Project Phonon Database (DFPT-based),Materials Project Phonon Database (DFPT-based),,1,1,1
dataset_ec1f8697696a,PhononDB (Kyoto University),PhononDB (Kyoto University),http://phonondb.mtl.kyoto-u.ac.jp/,1,1,1
dataset_cf6d81744e01,Materials Project (MP) Γ-Phonon Database (VGNN-predicted),Materials Project (MP) Γ-Phonon Database (VGNN-predicted),https://osf.io/k5utb/,1,1,1
dataset_1156b8b635d2,QM9,QM9,https://doi.org/10.6084/m9.figshare.978910; https://doi.org/10.6084/m9.figshare.978961; https://doi.org/10.6084/m9.figshare.c.978962,3,3,3
dataset_5a37f415d2cf,Experimental round-robin CO₂ adsorption data for ZSM-5 zeolite,Experimental round-robin CO₂ adsorption data for ZSM-5 zeolite,https://doi.org/10.1007/s10450-018-9952-0,1,1,1
dataset_4399a5640bb0,matbench_log_gvrh,matbench_log_gvrh,https://matbench.materialsproject.org/,1,1,1
dataset_c8ab0d98814b,matbench_perovskites,matbench_perovskites,https://matbench.materialsproject.org/,1,1,1
dataset_ad5cbf31abd4,MD charge density dataset,MD charge density dataset,https://doi.org/10.1038/ncomms1572,1,1,1
dataset_06c899bfb490,Cubic charge density dataset,Cubic charge density dataset,https://doi.org/10.1038/s41597-022-00059-9,1,1,1
dataset_a1d68951db7c,SuperCon3D,SuperCon3D,https://github.com/pincher-chen/SODNet,1,1,1
dataset_0d530002ad88,Inorganic Crystal Structure Database,ICSD (Inorganic Crystal Structure Database); Inorganic Crystal Structure Database (ICSD),https://doi.org/10.18434/M32147; https://icsd.fiz-karlsruhe.de; https://icsd.products.fiz-karlsruhe.de/,4,4,4
dataset_aed6baa5fc51,Matgen,Matgen,https://matgen.nscc-gz.cn,1,1,1
dataset_c399a1d98a52,Perovskite Solar Cell (PSC) Database,Perovskite Solar Cell (PSC) Database,https://doi.org/10.1038/s41560-022-01002-7,1,1,1
dataset_9d88fb60b961,Liu et al. experimental bandgap dataset,Liu et al. experimental bandgap dataset,https://doi.org/10.1016/j.orgel.2022.106426,1,1,1
dataset_e21be1008a5c,Yang et al. experimental bandgap dataset,Yang et al. experimental bandgap dataset,https://doi.org/10.1021/acsami.3c04027,1,1,1
dataset_4fb931dfc314,DFT-calculated bandgap dataset (PBE functional),DFT-calculated bandgap dataset (PBE functional),,1,1,1
dataset_09580035b109,LipopDataset,LipopDataset,https://www.ebi.ac.uk/chembl/,1,1,1
dataset_80faab50de18,FreeSolvDataset,FreeSolvDataset,https://github.com/deepchem/deepchem/tree/master/deepchem/datasets/freesolv,1,1,1
dataset_8f0bbb4dba47,ESOLDataset,ESOLDataset,https://github.com/deepchem/deepchem/tree/master/deepchem/datasets/esol,1,1,1
dataset_bff4dfeb3f50,OC22,OC22,https://opencatalystproject.org/,1,1,1
dataset_453a17bc6476,Materials Project Trajectory Dataset (MPtrj),Materials Project Trajectory Dataset (MPtrj),https://doi.org/10.6084/m9.figshare.23713842,1,1,1
dataset_b44f6b179185,CrysGNN Curated Dataset (800K crystal graphs),CrysGNN Curated Dataset (800K crystal graphs),https://github.com/kdmsit/crysgnn,1,1,1
dataset_2c17b78bf754,MPF.2021.2.8,MPF.2021.2.8,http://doi.org/10.6084/m9.figshare.19470599,1,1,1
dataset_ad9d170b2068,Zuo et al. DFT dataset,Zuo et al. DFT dataset,,1,1,1
dataset_09b11245ebfb,MD17 and MD17-CCSD(T),MD17 and MD17-CCSD(T),,1,1,1
dataset_d7a10bedca1f,Experimental formation energy dataset,Experimental formation energy dataset,https://github.com/wolverton-research-group/qmpy/blob/master/qmpy/data/thermodata/ssub.dat,1,1,1
dataset_ff3e4d286db4,Experimental band gap dataset,Experimental band gap dataset,https://github.com/hackingmaterials/automatminer,1,1,1
dataset_83fb3216ae5c,Synthesizability Dataset (author-curated),Synthesizability Dataset (author-curated),,1,1,1
